ticker,nome,setor,industria,pais,site,funcionarios,payout_ratio,receita,lucro_bruto,ebitda,margem_lucro,caixa_total,divida_total,roe,roa,liquidez_corrente,beta
AZUL4,Azul S.A.,Industrials,Airlines,Brazil,https://www.voeazul.com.br,15367.0,0.0,20242219008.0,6178396160.0,4346507776.0,-0.31851998,1601126016.0,35884503040.0,,0.10589,0.35,1.616
HAPV3,Hapvida Participações e Investimentos S.A.,Financial Services,Insurance - Life,Brazil,https://ri.hapvida.com.br,,0.0,29422798848.0,3391353088.0,2051096064.0,-0.02305,9478099968.0,16983700480.0,-0.013990001,0.0061000003,1.77,
COGN3,Cogna Educação S.A.,Consumer Defensive,Education & Training Services,Brazil,https://www.cogna.com.br,25489.0,0.0,6479706112.0,4402777088.0,1610251008.0,0.15178001,1421704960.0,6974388224.0,0.08316,0.036229998,1.383,0.432
B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Financial Data & Stock Exchanges,Brazil,https://www.b3.com.br,,0.3524,9680094208.0,9293887488.0,6335019008.0,0.48895,14479451136.0,15382788096.0,0.24464001,0.084910005,2.129,0.497
BBAS3,Banco do Brasil S.A.,Financial Services,Banks - Regional,Brazil,https://www.bb.com.br,,0.4695,92521717760.0,91677417472.0,,0.33343,407310139392.0,1073962549248.0,0.18902001,0.0146200005,,0.427
ITSA4,Itaúsa S.A.,Industrials,Conglomerates,Brazil,https://www.itausa.com.br,,0.65809995,8201999872.0,2345999872.0,1784999936.0,1.85528,7448999936.0,12535000064.0,0.17547001,0.00374,1.973,0.521
BBDC4,Banco Bradesco S.A.,Financial Services,Banks - Regional,Brazil,https://banco.bradesco,71953.0,0.6352,83628048384.0,82282553344.0,,0.22405,205543997440.0,698441531392.0,0.112670004,0.0094800005,,0.388
PETR4,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,https://petrobras.com.br,41778.0,1.4075,496251994112.0,246470000640.0,196239998976.0,0.09696,44038000640.0,370313986048.0,0.12019,0.08658,0.718,0.331
MGLU3,Magazine Luiza S.A.,Consumer Cyclical,Specialty Retail,Brazil,https://www.magazineluiza.com.br,,0.0,38187769856.0,11758955520.0,1744454016.0,0.01135,1733500032.0,8105999872.0,0.03896,0.02352,1.202,1.371
JBSS3,JBS S.A.,Consumer Defensive,Packaged Foods,Brazil,https://www.jbs.com.br,280000.0,0.65169996,441932349440.0,66432143360.0,37740699648.0,0.02465,27711750144.0,130297348096.0,0.25443,0.07797,1.623,0.139
CVCB3,CVC Brasil Operadora e Agência de Viagens S.A.,Consumer Cyclical,Travel Services,Brazil,https://www.cvc.com.br,,0.0,1443192064.0,1356652032.0,209698000.0,-0.05294,403854016.0,628531968.0,-0.13922,0.017070001,0.877,
ITUB4,Itaú Unibanco Holding S.A.,Financial Services,Banks - Regional,Brazil,https://www.itau.com.br,,0.6361,137859006464.0,137859006464.0,,0.30306998,389373001728.0,976235003904.0,0.21149,0.01582,,0.342
SRNA3,Serena Energia S.A.,Utilities,Utilities - Renewable,Brazil,https://srna.co,,0.0,4124979968.0,1385554944.0,1919219968.0,0.07211,1427974016.0,12103747584.0,0.05436,0.039619997,0.992,0.757
CPLE6,Companhia Paranaense de Energia - COPEL,Utilities,Utilities - Regulated Electric,Brazil,https://www.copel.com,4396.0,0.2723,23126124544.0,4304003072.0,5468179968.0,0.12729,6057193984.0,19138037760.0,0.095769994,0.04441,1.484,0.356
RAIZ4,Raízen S.A.,Utilities,Utilities - Renewable,Brazil,https://www.raizen.com.br,40000.0,2.1501,255268454400.0,11836792832.0,11061025792.0,-0.01667,22130833408.0,69448515584.0,-0.20728001,0.02072,1.331,0.422
LREN3,Lojas Renner S.A.,Consumer Cyclical,Department Stores,Brazil,https://www.lojasrennersa.com.br/en/,25102.0,0.5389,14785766400.0,8993948672.0,2055680000.0,0.08647,1630800000.0,2990799872.0,0.12555,0.0533,1.67,0.52
BEEF3,Minerva S.A.,Consumer Defensive,Farm Products,Brazil,https://ri.minervafoods.com,40000.0,0.0,38077931520.0,7649530880.0,3419968000.0,-0.03155,11874053120.0,27491442688.0,-5.2564,0.04658,1.48,0.228
VAMO3,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",Industrials,Rental & Leasing Services,Brazil,https://grupovamos.com.br,2291.0,0.4566,4699312128.0,3005368064.0,3274947072.0,0.081070006,2788228096.0,14593638400.0,0.202,0.07798,1.519,0.202
ABEV3,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,https://www.ambev.com.br,43000.0,0.87,91673747456.0,47171932160.0,27293138944.0,0.15742,20310261760.0,3218170112.0,0.16239999,0.099980004,1.107,0.423
BRFS3,BRF S.A.,Consumer Defensive,Packaged Foods,Brazil,https://www.brf-global.com,100000.0,0.363,63513550848.0,16664133632.0,9521731584.0,0.06034,12981515264.0,24054505472.0,0.25631002,0.07707,1.458,0.641
ELET3,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Utilities,Utilities - Renewable,Brazil,https://www.eletrobras.com,7710.0,0.28149998,41877458944.0,22434148352.0,16630330368.0,0.23156,26977865728.0,74860232704.0,0.082770005,0.028870001,2.29,0.383
OIBR3,Oi S.A.,Communication Services,Telecom Services,Brazil,https://www.oi.com.br,,0.0,2460421120.0,-2009661056.0,-2997760768.0,5.71276,1443000064.0,12974000128.0,,-0.094639994,0.696,
VALE3,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,Brazil,https://www.vale.com,64616.0,0.6007,35590156288.0,12602458112.0,12382662656.0,0.14681,3998000128.0,18545999872.0,0.14263,0.07453,1.11,1.061
CSAN3,Cosan S.A.,Energy,Oil & Gas Refining & Marketing,Brazil,https://www.cosan.com.br,,0.3783,43771285504.0,13697796096.0,13367583744.0,-0.25175,17646567424.0,67072561152.0,-0.24821,0.0471,2.135,0.966
GGBR4,Gerdau S.A.,Basic Materials,Steel,Brazil,https://www2.gerdau.com,30000.0,0.50630003,68191727616.0,8730074112.0,8616631296.0,0.04798,6869878784.0,15994067968.0,0.061,0.044710003,2.64,0.959
RADL3,Raia Drogasil S.A.,Healthcare,Pharmaceutical Retailers,Brazil,https://rdsaude.com.br,66275.0,0.4428,39814971392.0,11773716480.0,3064745984.0,0.02948,470176000.0,7717969920.0,0.18677999,0.06762,1.345,0.238
GOLL4,Gol Linhas Aéreas Inteligentes S.A.,Industrials,Airlines,Brazil,https://www.voegol.com.br,13900.0,0.0,19129573376.0,5744629760.0,1237257984.0,-0.31716,2335259904.0,35876339712.0,,0.014529999,0.272,1.318
POMO4,Marcopolo S.A.,Industrials,Farm & Heavy Construction Machinery,Brazil,https://www.marcopolo.com.br,16027.0,0.5974,8615196672.0,2130313984.0,1494337024.0,0.1314,1763833984.0,3181964032.0,0.30146998,0.10057,1.701,0.108
EQTL3,Equatorial S.A.,Utilities,Utilities - Regulated Electric,Brazil,https://www.equatorialenergia.com.br,,0.2185,47177609216.0,11879463936.0,11168422912.0,0.06546,10282952704.0,54557855744.0,0.13803001,0.05133,1.244,0.213
ENEV3,Eneva S.A.,Utilities,Utilities - Diversified,Brazil,https://www.eneva.com.br,1846.0,0.0,13806404608.0,4352082944.0,3622334720.0,0.0353,,,,,,
RAIL3,Rumo S.A.,Industrials,Railroads,Brazil,https://www.rumolog.com,,0.120699994,13757121536.0,6366056960.0,7302084096.0,-0.10381,8579156992.0,26828709888.0,-0.09111,0.06787,1.904,0.019
VBBR3,Vibra Energia S.A.,Consumer Cyclical,Specialty Retail,Brazil,https://www.vibraenergia.com.br,3814.0,0.23110001,177531994112.0,8470000128.0,9550999552.0,0.034879997,5506999808.0,26616999936.0,0.32902,0.108219996,1.942,0.276
PCAR3,Companhia Brasileira De Distribuicao,Consumer Cyclical,Department Stores,Brazil,https://www.gpari.com.br,,0.0,18971000832.0,5241999872.0,528000000.0,-0.101,2176999936.0,9031999488.0,-0.36317003,0.0039500003,0.977,
STBP3,Santos Brasil Participações S.A.,Industrials,Marine Shipping,Brazil,https://www.santosbrasil.com.br,3703.0,0.6379,3141476096.0,1762132992.0,1510638976.0,0.25232,381980000.0,4213629952.0,0.56093,0.1682,1.007,
CMIG4,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified,Brazil,https://www.cemig.com.br,5028.0,0.3847,40605982720.0,6233081856.0,9290428416.0,0.17246,4700460032.0,15659601920.0,0.26266,0.081920005,1.059,0.546
MRFG3,Marfrig Global Foods S.A.,Consumer Defensive,Packaged Foods,Brazil,https://www.marfrig.com.br,126832.0,1.4966999,156675047424.0,20495880192.0,12000714752.0,0.018,19976742912.0,63879114752.0,0.13822,0.029779999,1.22,0.587
MRVE3,MRV Engenharia e Participações S.A.,Real Estate,Real Estate - Development,Brazil,https://www.mrv.com.br,,0.0,9009035264.0,2375876096.0,760571008.0,-0.055859998,3739177984.0,10065399808.0,-0.06413,0.015420001,1.682,0.774
ANIM3,Ânima Holding S.A.,Consumer Defensive,Education & Training Services,Brazil,https://animaeducacao.com.br,,2.049,3801379072.0,2357293056.0,1115064960.0,0.0224,1251981056.0,5323129856.0,0.07253,0.05435,2.165,0.925
ASAI3,Sendas Distribuidora S.A.,Consumer Defensive,Grocery Stores,Brazil,https://www.assai.com.br,87000.0,0.0022,75149000704.0,12485000192.0,5000999936.0,0.010989999,4407000064.0,25693999104.0,0.16384001,0.056789998,1.054,0.438
